type,name,label,hint,default,appearance,constraint,constraint message,relevance,disabled,required,required message,read only,calculation,repeat_count,media:image,media:audio,media:video,choice_filter,note,response_note,publishable
start,starttime,,,,,,,,,,,,,,,,,,,,
end,endtime,,,,,,,,,,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,,,,,,,,,,
subscriberid,subscriberid,,,,,,,,,,,,,,,,,,,,
simserial,simid,,,,,,,,,,,,,,,,,,,,
phonenumber,devicephonenum,,,,,,,,,,,,,,,,,,,,
note,intronote,This is an example *BACKCHECK* file for an introduction to ODK training. The data produced by this file will be used to demonstrate ODK protocols.,,,,,,,,,,,,,,,,,,,
select_one yesno,consent,Would you like to proceed with this survey? ,,,,,,,,,,,,,,,,,,,
begin group,consented,,,,,,,${consent} = 1,,,,,,,,,,,,,
datetime,stamp,Please record the date and time of this interview. ,,,,,,,,,,,,,,,,,,,
integer,id,Please enter the enumerator ID (number from 1 to 99).,,,,. > 0 and . < 100,You must enter a number from 1 to 99.,,,,,,,,,,,,,,
text,name,What is your name?,,,,,,,,,,,,,,,,,,,
note,thanks,"Thank you, ${name}, for agreeing to participate! Now, I'd like to ask a few questions about you. ",,,,,,,,,,,,,,,,,,,
select_one title or_other,title,What is your title?,,,,,,,,,,,,,,,,,,,
integer,age,How old are you?,,,,,,,,,,,,,,,,,,,
select_one fruit,favfruit,What is your ONE favorite kind of fruit from the options presented?,,,,,,,,,,,,,,,,,,,
select_multiple vegetable or_other,favveg,What kinds of vegetables do you like to eat?,,,,,,,,,,,,,,,,,,,
select_multiple field or_other,researcharea,Which research area(s) do you work in?,We're assuming we're interviewing only research staff. :) ,,,,,,,,,,,,,,,,,,
end group,consented,,,,,,,,,,,,,,,,,,,,
note,endnote,Thank you!C2 This is the end of the survey. ,,,,,,,,,,,,,,,,,,,
text,enumeratorcomment,"Enumerator, please use this space to save any additional comments about this BACKCHECK interview. Then, please move to the next screen to name and save your survey form. ",,,,,,,,,,,,,,,,,,,
